DAYS_PK,YEAR,MONTH,NUM_WD,NUM_WE,REMARKS,SYS_CREATE_TIME,SYS_MODIFY_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
11365,1980,1,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11366,1980,2,20,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11367,1980,3,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11368,1980,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11369,1980,5,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11370,1980,6,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11371,1980,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11372,1980,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11373,1980,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11374,1980,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11375,1980,11,16,14,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11376,1980,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11377,1981,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11378,1981,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11379,1981,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11380,1981,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11381,1981,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11382,1981,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11383,1981,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11384,1981,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11385,1981,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11386,1981,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11387,1981,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11388,1981,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11389,1982,1,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11390,1982,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11391,1982,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11392,1982,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
