"","P1_PK","YEAR","QUARTER","PORT_FK","METHOD_FK","CHARTER_P1","NON_CHARTER_P1","REMARKS","P2","SYS_CREATE_TIME","SYS_MODIFY_TIME","LOAD_TABLE","LOAD_DATETIME","LOAD_USER"
"1",47206,2007,1,1,1,0.95,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"2",47207,2007,1,1,2,0.98,0.85,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"3",47208,2007,1,1,3,1,0.75,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"4",47209,2007,1,1,4,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"5",47210,2007,1,1,5,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"6",47211,2007,1,1,6,1,0.95,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"7",47212,2007,1,1,7,1,1,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"8",47213,2007,1,1,8,1,1,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"9",47214,2007,1,1,9,1,0.98,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"10",47215,2007,1,2,1,0.95,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"11",47216,2007,1,2,2,0.9,0.85,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"12",47217,2007,1,2,3,1,0.75,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"13",47218,2007,1,2,4,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"14",47219,2007,1,2,5,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"15",47220,2007,1,2,6,1,0.95,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"16",47221,2007,1,2,7,1,1,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"17",47222,2007,1,2,8,1,1,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"18",47223,2007,1,2,9,1,0.95,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"19",47224,2007,1,3,1,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"20",47225,2007,1,3,2,1,0.85,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"21",47226,2007,1,3,3,1,0.75,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"22",47227,2007,1,3,4,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"23",47228,2007,1,3,5,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"24",47229,2007,1,3,6,1,0.95,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"25",47230,2007,1,3,7,1,1,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"26",47231,2007,1,3,8,1,1,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"27",47232,2007,1,3,9,1,0.8,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"28",47233,2007,2,1,1,0.95,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"29",47234,2007,2,1,2,0.98,0.85,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"30",47235,2007,2,1,3,1,0.75,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
"31",47236,2007,2,1,4,1,0.9,NA,NA,NA,"2007-05-21","gof07p1","2017-10-03 12:34:15","data_loader"
