"","REFER_PK","METHOD_FK","SUM_KGS","SUM_HOUR","SUM_FISHER","SUM_FISHER_HOUR","SUM_GEAR_HOUR","NUM_INT","REMARKS","SYS_CREATE_TIME","SYS_MODIFY_TIME","LOAD_TABLE","LOAD_DATETIME","LOAD_USER"
"1",476,1,22.7,4.2,4.1,15.2,16.7,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"2",477,2,7.3,4.2,5.1,16.5,14.4,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"3",478,3,13.5,4.9,2.5,12.3,13.7,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"4",479,4,22,2.7,3.4,8.3,7.1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"5",480,5,14.9,3,3.7,11.5,8.2,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"6",481,6,36.6,1.6,3.7,6,4.9,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"7",482,7,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"8",483,8,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"9",484,9,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"10",485,10,10.9,3.5,4.2,15.1,9.9,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"11",486,11,24.9,3.2,2.8,7.7,4.4,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"12",487,12,14.7,2.8,3.4,8.8,4.9,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"13",488,13,9.1,3.7,3.2,13.8,10.3,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"14",489,14,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"15",490,15,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"16",491,16,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"17",492,17,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"18",493,18,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
"19",494,19,1,1,1,1,1,1,NA,NA,NA,"g_refer","2020-03-06 11:58:45","data_loader"
