"","SMPDY_PK","SAMPLE_DATE","TYPE_OF_DAY","MONTH","DAY","YEAR","PORT_FK","REMARKS","SYS_CREATE_TIME","SYS_MODIFY_TIME","LOAD_TABLE","LOAD_DATETIME","LOAD_USER"
"1",70371,"1982-01-07","WD",1,7,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"2",70372,"1982-01-10","WE",1,10,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"3",70373,"1982-01-16","WE",1,16,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"4",70374,"1982-01-20","WD",1,20,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"5",70375,"1982-02-13","WE",2,13,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"6",70376,"1982-02-25","WD",2,25,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"7",70377,"1982-02-26","WD",2,26,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"8",70378,"1982-02-27","WE",2,27,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"9",70379,"1982-03-15","WD",3,15,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"10",70380,"1982-03-20","WE",3,20,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"11",70381,"1982-03-27","WE",3,27,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"12",70382,"1982-03-29","WD",3,29,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"13",70383,"1982-04-10","WE",4,10,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"14",70384,"1982-04-12","WD",4,12,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"15",70385,"1982-04-17","WE",4,17,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"16",70386,"1982-04-29","WD",4,29,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"17",70387,"1982-05-08","WE",5,8,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"18",70388,"1982-05-11","WD",5,11,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"19",70389,"1982-05-27","WD",5,27,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"20",70390,"1982-05-29","WE",5,29,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"21",70391,"1982-06-12","WE",6,12,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"22",70392,"1982-06-17","WD",6,17,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"23",70393,"1982-06-25","WD",6,25,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"24",70394,"1982-06-26","WE",6,26,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"25",70395,"1982-07-03","WE",7,3,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"26",70396,"1982-07-30","WD",7,30,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"27",70397,"1982-07-31","WE",7,31,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"28",70398,"1982-08-08","WE",8,8,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"29",70399,"1982-08-12","WD",8,12,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"30",70400,"1982-08-25","WD",8,25,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"31",70401,"1982-08-28","WE",8,28,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"32",70402,"1982-09-12","WE",9,12,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"33",70403,"1982-09-18","WE",9,18,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"34",70404,"1982-09-24","WD",9,24,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"35",70405,"1982-10-15","WD",10,15,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"36",70406,"1982-10-16","WE",10,16,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"37",70407,"1982-10-24","WE",10,24,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"38",70408,"1982-10-27","WD",10,27,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"39",70409,"1982-11-10","WD",11,10,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"40",70410,"1982-11-17","WD",11,17,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"41",70411,"1982-11-21","WE",11,21,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"42",70412,"1982-11-27","WE",11,27,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"43",70413,"1982-12-03","WD",12,3,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"44",70414,"1982-12-11","WE",12,11,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
"45",70415,"1982-12-19","WE",12,19,1982,1,NA,NA,"2004-09-14 00:00:00","g_sampda","2020-03-06 11:58:43","data_loader"
